Element Name,Number,Deviation,MX Coord.,MY Coord.,MZ Coord.
Point029,8,0.030,-175.356,-37.844,354.310
Point030,1,0.036,-174.994,-29.447,359.792
Point030,2,0.028,-174.988,-29.454,359.795
Point030,3,0.038,-174.962,-29.460,359.839
Point030,4,0.045,-174.939,-29.468,359.839
Point030,5,0.024,-174.938,-29.452,359.798
Point030,6,0.033,-174.952,-29.460,359.769
Point030,7,0.040,-174.957,-29.478,359.766
Point030,8,0.015,-174.957,-29.446,359.809
Point031,1,0.004,-179.557,-32.631,346.799
Point031,2,0.025,-179.563,-32.624,346.823
Point031,3,0.020,-179.544,-32.621,346.801
Point031,4,0.019,-179.542,-32.635,346.804
Point031,5,0.007,-179.557,-32.632,346.794
Point031,6,0.024,-179.569,-32.631,346.778
Point031,7,0.037,-179.587,-32.657,346.793
Point031,8,0.010,-179.564,-32.631,346.810
Point032,1,0.015,-179.178,-24.286,352.223
Point032,2,0.022,-179.163,-24.287,352.232
Point032,3,0.039,-179.193,-24.301,352.184
Point032,4,0.044,-179.188,-24.320,352.181
Point032,5,0.017,-179.170,-24.293,352.233
Point032,6,0.032,-179.176,-24.308,352.248
Point032,7,0.032,-179.147,-24.300,352.237
Point032,8,0.020,-179.164,-24.297,352.199
Point033,1,0.240,-176.449,-28.184,339.184
Point033,2,0.256,-176.309,-28.124,339.186
Point033,3,0.260,-176.231,-28.089,339.247
Point033,4,0.111,-176.390,-28.071,339.300
Point033,5,0.292,-176.656,-28.053,339.596
Point033,6,0.262,-176.583,-28.058,339.618
Point033,7,0.305,-176.571,-28.057,339.674
Point033,8,0.137,-176.352,-27.976,339.379
Point034,1,0.093,-176.068,-19.863,344.693
Point034,2,0.087,-176.003,-19.749,344.800
Point034,3,0.210,-176.188,-19.851,344.829
Point034,4,0.083,-176.047,-19.868,344.697
Point034,5,0.097,-175.940,-19.830,344.668
Point034,6,0.198,-175.938,-19.660,344.849
Point034,7,0.174,-175.846,-19.769,344.681
Point034,8,0.106,-176.044,-19.829,344.635
Point035,1,0.472,-153.308,-22.839,330.051
Point035,2,0.022,-153.701,-23.073,330.138
Point035,3,0.266,-153.930,-23.155,330.250
Point035,4,0.033,-153.674,-23.076,330.123
Point035,5,0.343,-153.456,-23.211,329.923
Point035,6,0.066,-153.685,-23.038,330.176
Point035,7,0.092,-153.716,-23.030,330.204
Point035,8,0.472,-154.085,-23.329,330.264
Point036,1,0.099,-153.261,-14.658,335.644
Point036,2,0.294,-152.885,-14.769,335.649
Point036,3,0.067,-153.228,-14.662,335.632
Point036,4,0.121,-153.262,-14.646,335.694
Point036,5,0.303,-153.170,-14.452,335.824
Point036,6,0.211,-153.348,-14.783,335.583
Point036,7,0.127,-153.268,-14.737,335.575
Point036,8,0.326,-152.912,-14.795,335.460
Point037,1,0.142,-150.051,-12.839,344.313
Point037,2,0.170,-149.991,-12.803,344.164
Point037,3,0.271,-149.966,-12.693,344.028
Point037,4,0.178,-150.027,-12.797,344.395
Point037,5,0.283,-150.324,-12.540,344.284
Point037,6,0.326,-150.393,-12.567,344.294
Point037,7,0.117,-150.009,-12.695,344.307
Point037,8,0.129,-150.115,-12.852,344.263
Point038,1,0.181,-145.970,-17.952,351.972
Point038,2,0.307,-146.293,-17.949,352.025
Point038,3,0.223,-145.850,-17.919,351.868
Point038,4,0.308,-145.782,-17.866,351.725
Point038,5,0.423,-146.467,-17.909,351.938
Point038,6,0.291,-146.245,-17.638,351.766
Point038,7,0.259,-146.071,-17.609,351.742
Point038,8,0.277,-145.783,-17.872,351.845
Point039,1,0.183,-172.786,-17.812,353.708
Point039,2,0.367,-173.291,-17.769,353.716
Point039,3,0.281,-173.048,-17.544,353.520
Point039,4,0.317,-172.649,-17.701,353.514
Point039,5,0.251,-172.710,-17.835,353.519
Point039,6,0.169,-172.801,-17.884,353.602
Point039,7,0.146,-173.038,-17.882,353.664
Point039,8,0.267,-173.189,-17.873,353.646
Point040,1,0.313,-168.688,-22.971,361.122
Point040,2,0.310,-168.651,-22.964,361.126
Point040,3,0.242,-168.506,-22.821,361.086
Point040,4,0.245,-168.738,-22.488,360.875
Point040,5,0.437,-169.065,-22.529,360.900
Point040,6,0.384,-168.605,-22.416,360.711
Point040,7,0.310,-168.535,-22.562,360.712
Point040,8,0.268,-168.583,-22.948,361.038
